date,promotion_active,discount_percentage,weather_condition,temperature_c
2025-09-24,0,0,Rainy,29.8
2025-09-25,0,0,Clear,17.4
2025-09-26,0,0,Rainy,18.1
2025-09-27,0,0,Stormy,16.6
2025-09-28,0,0,Rainy,32.4
2025-09-29,0,0,Clear,15.7
2025-09-30,0,0,Sunny,29.5
2025-10-01,0,0,Sunny,23.8
2025-10-02,0,0,Rainy,19.4
2025-10-03,0,0,Stormy,32.5
2025-10-04,0,0,Rainy,27.8
2025-10-05,0,0,Clear,34.4
2025-10-06,0,0,Rainy,29.8
2025-10-07,0,0,Clear,33.1
2025-10-08,0,0,Rainy,21.7
2025-10-09,0,0,Rainy,34.9
2025-10-10,1,50,Sunny,32.2
2025-10-11,0,0,Sunny,31.9
2025-10-12,0,0,Clear,21.0
2025-10-13,0,0,Stormy,30.5
2025-10-14,0,0,Sunny,21.1
2025-10-15,0,0,Sunny,26.2
2025-10-16,0,0,Sunny,31.0
2025-10-17,1,10,Rainy,27.2
2025-10-18,0,0,Rainy,32.0
2025-10-19,1,50,Sunny,30.5
2025-10-20,0,0,Stormy,23.4
2025-10-21,0,0,Sunny,28.8
2025-10-22,0,0,Rainy,16.8
2025-10-23,0,0,Clear,17.5
2025-10-24,0,0,Clear,34.2
2025-10-25,0,0,Clear,19.3
2025-10-26,0,0,Sunny,15.2
2025-10-27,0,0,Stormy,22.2
2025-10-28,0,0,Clear,26.6
2025-10-29,0,0,Rainy,28.1
2025-10-30,0,0,Clear,28.5
2025-10-31,0,0,Sunny,23.0
2025-11-01,0,0,Clear,18.6
2025-11-02,0,0,Clear,27.4
2025-11-03,0,0,Rainy,23.7
2025-11-04,0,0,Clear,20.9
2025-11-05,0,0,Clear,22.6
2025-11-06,0,0,Clear,19.8
2025-11-07,0,0,Clear,17.5
2025-11-08,0,0,Rainy,18.4
2025-11-09,0,0,Sunny,34.0
2025-11-10,0,0,Clear,20.8
2025-11-11,1,20,Sunny,24.5
2025-11-12,0,0,Sunny,32.9
2025-11-13,0,0,Clear,21.1
2025-11-14,0,0,Rainy,27.0
2025-11-15,0,0,Rainy,16.5
2025-11-16,0,0,Sunny,22.4
2025-11-17,1,50,Stormy,30.4
2025-11-18,1,20,Rainy,30.8
2025-11-19,0,0,Stormy,22.4
2025-11-20,0,0,Stormy,30.7
2025-11-21,0,0,Rainy,31.5
2025-11-22,0,0,Rainy,17.3
2025-11-23,0,0,Clear,28.9
2025-11-24,0,0,Rainy,29.3
2025-11-25,0,0,Sunny,32.3
2025-11-26,1,10,Sunny,31.9
2025-11-27,0,0,Sunny,23.0
2025-11-28,0,0,Rainy,33.8
2025-11-29,0,0,Rainy,23.3
2025-11-30,0,0,Clear,32.1
2025-12-01,0,0,Sunny,17.8
2025-12-02,0,0,Sunny,29.2
2025-12-03,0,0,Clear,24.1
2025-12-04,0,0,Rainy,26.3
2025-12-05,1,50,Sunny,26.7
2025-12-06,0,0,Rainy,18.8
2025-12-07,0,0,Rainy,16.2
2025-12-08,0,0,Sunny,31.8
2025-12-09,0,0,Stormy,16.5
2025-12-10,0,0,Clear,29.8
2025-12-11,0,0,Stormy,20.2
2025-12-12,0,0,Sunny,24.2
2025-12-13,0,0,Stormy,19.9
2025-12-14,0,0,Clear,31.0
2025-12-15,0,0,Clear,27.8
2025-12-16,0,0,Stormy,27.1
2025-12-17,0,0,Rainy,23.6
2025-12-18,0,0,Stormy,31.6
2025-12-19,1,10,Clear,29.4
2025-12-20,0,0,Rainy,22.3
2025-12-21,0,0,Stormy,29.3
2025-12-22,0,0,Clear,26.8
2025-12-23,0,0,Rainy,33.6
2025-12-24,0,0,Clear,29.2
2025-12-25,0,0,Stormy,34.7
2025-12-26,0,0,Sunny,16.8
2025-12-27,1,50,Rainy,23.3
2025-12-28,0,0,Rainy,17.1
2025-12-29,0,0,Stormy,20.1
2025-12-30,0,0,Clear,34.4
2025-12-31,0,0,Stormy,27.9
2026-01-01,0,0,Stormy,34.8
2026-01-02,0,0,Sunny,17.9
2026-01-03,0,0,Sunny,34.5
2026-01-04,0,0,Sunny,26.7
2026-01-05,0,0,Stormy,26.1
2026-01-06,0,0,Sunny,28.0
2026-01-07,1,10,Stormy,18.1
2026-01-08,0,0,Sunny,34.3
2026-01-09,0,0,Clear,30.3
2026-01-10,0,0,Clear,29.0
2026-01-11,0,0,Sunny,17.9
2026-01-12,0,0,Clear,18.1
2026-01-13,0,0,Stormy,32.8
2026-01-14,0,0,Rainy,31.8
2026-01-15,0,0,Rainy,29.9
2026-01-16,0,0,Clear,18.8
2026-01-17,0,0,Rainy,26.7
2026-01-18,1,50,Sunny,32.2
2026-01-19,0,0,Stormy,31.4
2026-01-20,0,0,Sunny,24.2
2026-01-21,0,0,Rainy,18.4
2026-01-22,0,0,Clear,25.5
2026-01-23,0,0,Sunny,24.7
2026-01-24,0,0,Stormy,28.5
2026-01-25,0,0,Stormy,16.5
2026-01-26,0,0,Stormy,17.1
2026-01-27,0,0,Sunny,17.8
2026-01-28,0,0,Sunny,24.1
2026-01-29,0,0,Sunny,16.5
2026-01-30,0,0,Clear,34.6
2026-01-31,0,0,Clear,29.5
2026-02-01,0,0,Rainy,33.9
2026-02-02,0,0,Sunny,31.8
2026-02-03,0,0,Stormy,32.5
2026-02-04,0,0,Sunny,19.9
2026-02-05,0,0,Stormy,22.1
2026-02-06,0,0,Stormy,31.6
2026-02-07,0,0,Sunny,27.0
2026-02-08,0,0,Rainy,31.3
2026-02-09,0,0,Rainy,31.1
2026-02-10,1,50,Stormy,29.9
2026-02-11,0,0,Stormy,28.3
2026-02-12,0,0,Clear,32.3
2026-02-13,0,0,Clear,34.9
2026-02-14,0,0,Rainy,18.7
2026-02-15,0,0,Stormy,17.2
2026-02-16,0,0,Stormy,24.9
2026-02-17,0,0,Rainy,21.9
2026-02-18,0,0,Rainy,25.8
2026-02-19,0,0,Stormy,26.4
2026-02-20,0,0,Clear,29.2
2026-02-21,0,0,Clear,21.9
2026-02-22,0,0,Sunny,31.2
2026-02-23,0,0,Clear,21.2
2026-02-24,0,0,Rainy,21.8
2026-02-25,0,0,Clear,34.1
2026-02-26,0,0,Stormy,28.1
2026-02-27,0,0,Sunny,16.1
2026-02-28,0,0,Rainy,24.4
2026-03-01,0,0,Rainy,34.4
2026-03-02,0,0,Sunny,17.8
2026-03-03,0,0,Rainy,33.5
2026-03-04,0,0,Rainy,23.7
2026-03-05,0,0,Sunny,30.0
2026-03-06,0,0,Clear,15.9
2026-03-07,0,0,Clear,28.9
2026-03-08,0,0,Stormy,31.1
2026-03-09,0,0,Stormy,15.6
2026-03-10,1,30,Clear,28.5
2026-03-11,0,0,Sunny,16.2
2026-03-12,0,0,Rainy,15.6
2026-03-13,0,0,Stormy,34.1
2026-03-14,0,0,Stormy,26.9
2026-03-15,0,0,Clear,18.1
2026-03-16,0,0,Stormy,19.9
2026-03-17,0,0,Stormy,24.2
2026-03-18,0,0,Rainy,21.9
2026-03-19,0,0,Rainy,20.4
2026-03-20,0,0,Stormy,34.5
2026-03-21,0,0,Clear,22.8
2026-03-22,0,0,Clear,30.0
2026-03-23,0,0,Clear,32.8
2026-03-24,0,0,Stormy,31.6
2026-03-25,0,0,Clear,24.7
2026-03-26,0,0,Rainy,34.1
2026-03-27,0,0,Stormy,17.9
2026-03-28,0,0,Stormy,24.0
2026-03-29,0,0,Stormy,17.6
2026-03-30,0,0,Stormy,26.3
2026-03-31,0,0,Rainy,23.4
2026-04-01,0,0,Clear,34.1
2026-04-02,0,0,Clear,34.7
2026-04-03,0,0,Sunny,27.9
2026-04-04,0,0,Clear,33.0
2026-04-05,0,0,Clear,15.7
2026-04-06,0,0,Sunny,33.9
2026-04-07,1,20,Sunny,23.0
2026-04-08,0,0,Stormy,27.7
2026-04-09,1,10,Stormy,30.4
2026-04-10,1,20,Sunny,22.7
2026-04-11,0,0,Rainy,19.8
2026-04-12,0,0,Sunny,16.9
2026-04-13,0,0,Stormy,15.7
2026-04-14,0,0,Rainy,30.1
2026-04-15,1,30,Stormy,22.0
2026-04-16,0,0,Stormy,25.8
2026-04-17,0,0,Rainy,28.1
2026-04-18,0,0,Sunny,16.9
2026-04-19,1,30,Rainy,17.9
2026-04-20,1,20,Stormy,34.4
2026-04-21,0,0,Sunny,32.3
2026-04-22,1,10,Clear,20.3
2026-04-23,0,0,Stormy,32.0
2026-04-24,0,0,Clear,18.5
2026-04-25,0,0,Rainy,22.4
2026-04-26,0,0,Rainy,33.6
2026-04-27,0,0,Sunny,31.4
2026-04-28,0,0,Rainy,19.2
2026-04-29,0,0,Sunny,17.9
2026-04-30,0,0,Rainy,20.6
2026-05-01,0,0,Rainy,25.4
2026-05-02,1,50,Rainy,34.0
2026-05-03,1,10,Stormy,34.9
2026-05-04,0,0,Rainy,18.4
2026-05-05,0,0,Rainy,25.6
2026-05-06,0,0,Sunny,28.9
2026-05-07,0,0,Stormy,18.8
2026-05-08,0,0,Stormy,22.5
2026-05-09,0,0,Rainy,24.2
2026-05-10,1,20,Clear,19.9
2026-05-11,0,0,Stormy,34.0
2026-05-12,0,0,Sunny,17.7
2026-05-13,0,0,Rainy,18.7
2026-05-14,0,0,Rainy,33.4
2026-05-15,0,0,Rainy,16.5
2026-05-16,0,0,Rainy,31.0
2026-05-17,0,0,Sunny,20.5
2026-05-18,0,0,Sunny,17.1
2026-05-19,0,0,Rainy,21.3
2026-05-20,0,0,Stormy,18.8
2026-05-21,0,0,Stormy,26.4
2026-05-22,0,0,Rainy,15.2
2026-05-23,1,10,Clear,28.6
2026-05-24,0,0,Stormy,29.8
2026-05-25,1,10,Stormy,16.7
2026-05-26,1,30,Rainy,24.8
2026-05-27,1,50,Clear,30.0
2026-05-28,0,0,Clear,34.7
2026-05-29,1,30,Rainy,29.4
2026-05-30,0,0,Rainy,24.6
2026-05-31,0,0,Clear,25.5
2026-06-01,0,0,Stormy,32.9
2026-06-02,1,10,Stormy,34.7
2026-06-03,0,0,Rainy,17.5
2026-06-04,0,0,Sunny,23.7
2026-06-05,0,0,Clear,34.5
2026-06-06,0,0,Stormy,19.6
2026-06-07,0,0,Clear,34.2
2026-06-08,0,0,Stormy,19.2
2026-06-09,0,0,Stormy,26.3
2026-06-10,0,0,Sunny,17.4
2026-06-11,0,0,Stormy,19.8
2026-06-12,0,0,Clear,15.2
2026-06-13,1,50,Rainy,30.8
2026-06-14,1,10,Rainy,29.8
2026-06-15,0,0,Rainy,25.5
2026-06-16,0,0,Sunny,28.9
2026-06-17,0,0,Sunny,33.4
2026-06-18,0,0,Clear,33.4
2026-06-19,0,0,Clear,20.2
2026-06-20,0,0,Clear,30.4
2026-06-21,0,0,Sunny,24.0
2026-06-22,0,0,Clear,25.2
2026-06-23,0,0,Rainy,29.1
2026-06-24,1,30,Rainy,31.5
2026-06-25,0,0,Clear,24.9
2026-06-26,1,20,Sunny,23.2
2026-06-27,0,0,Clear,26.7
2026-06-28,0,0,Sunny,32.5
2026-06-29,1,30,Clear,27.9
2026-06-30,0,0,Rainy,15.1
2026-07-01,0,0,Sunny,15.7
2026-07-02,0,0,Stormy,15.3
2026-07-03,0,0,Sunny,18.8
2026-07-04,0,0,Stormy,22.1
2026-07-05,0,0,Sunny,31.5
2026-07-06,0,0,Clear,18.2
2026-07-07,0,0,Stormy,21.6
2026-07-08,1,50,Stormy,18.6
2026-07-09,0,0,Clear,21.5
2026-07-10,0,0,Stormy,17.8
2026-07-11,0,0,Clear,17.1
2026-07-12,0,0,Rainy,28.4
2026-07-13,0,0,Rainy,16.9
2026-07-14,0,0,Stormy,27.9
2026-07-15,1,20,Stormy,32.6
2026-07-16,0,0,Sunny,31.5
2026-07-17,0,0,Stormy,24.8
2026-07-18,1,50,Clear,34.0
2026-07-19,0,0,Stormy,22.2
2026-07-20,0,0,Rainy,34.7
2026-07-21,0,0,Sunny,18.9
2026-07-22,0,0,Clear,27.2
2026-07-23,0,0,Clear,15.6
2026-07-24,1,20,Stormy,16.1
2026-07-25,0,0,Sunny,15.5
2026-07-26,0,0,Sunny,22.5
2026-07-27,0,0,Clear,17.1
2026-07-28,0,0,Sunny,27.6
2026-07-29,0,0,Sunny,33.9
2026-07-30,0,0,Sunny,28.9
2026-07-31,0,0,Rainy,28.6
2026-08-01,0,0,Sunny,31.4
2026-08-02,0,0,Stormy,23.0
2026-08-03,1,20,Clear,25.2
2026-08-04,0,0,Clear,24.5
